,song,chanteur,genre,play,like,repost
0,Lil Peep & XXXTENTACION - Falling Down,a??LiL PEEPa??,Alternative Rock,"81,818,952 plays","1,311,757 likes","57,401 reposts"
1,Riptide,Vance  Joy,Alternative Rock,"38,180,415 plays","522,994 likes","56,818 reposts"
2,Lil Peep & ILoveMakonnen - Sunlight On Your Skin,a??LiL PEEPa??,Alternative Rock,"11,030,294 plays","174,695 likes","10,070 reposts"
3,cavetown - this is home/cut my hair e?£¤?,sadvibesonly,Alternative Rock,"6,160,544 plays","85,002 likes","2,268 reposts"
4,let me die (prod. lilhappylilsad),lil happy lil sad,Alternative Rock,"3,899,861 plays","55,802 likes","2,281 reposts"
5,zillakami - frailty,xxxtentacion,Alternative Rock,"925,867 plays","16,369 likes",495 reposts
6,Green Day - Basket Case,BURGER RECORDS,Alternative Rock,"10,764,233 plays","167,051 likes","6,179 reposts"
7,twenty one pilots - Heathens (Punk Goes Pop Style Cover) Suicide Squad,Number 8,Alternative Rock,"6,587,157 plays","94,888 likes","2,617 reposts"
8,Red Hot Chilli Peppers-Can't Stop,Miraj,Alternative Rock,"9,217,647 plays","158,537 likes","6,829 reposts"
9,Lil Peep - I Feel Like I'm Still Alive,a??LiL PEEPa??,Alternative Rock,"79,807 plays","2,087 likes",47 reposts
10,Phoenix - Worlds 2019 - League Of Legends,Giovani Baldan,Alternative Rock,"62,722 plays","1,663 likes",46 reposts
11,Mr. Brightside,tealoversunite,Alternative Rock,"2,385,356 plays","36,912 likes",676 reposts
12,Paramore - Still Into You,Fueled By Ramen,Alternative Rock,"8,435,128 plays","135,911 likes","8,905 reposts"
13,bad love breaks hearts (feat. euan) (prod. hxrxkiller),heroine diaries,Alternative Rock,"1,330,211 plays","24,707 likes",689 reposts
14,Superman Is Dead - Sunset Di Tanah Anarki (USA),SigitBt,Alternative Rock,"4,297,693 plays","64,710 likes","1,985 reposts"
15,30 Minute Deep Sleep Music-Calming Music Relaxing Music Soothing Music(Link Below for Long Version),T Mega,Ambient,"10,224,835 plays","147,978 likes","4,807 reposts"
16,Relaxing Rain and Loud Thunder (Free Field Recording of Nature Sounds for Sleep or Meditation Mp3),R.J. Stefanski,Ambient,"9,839,827 plays","28,878 likes","1,233 reposts"
17,The Light (Acoustic Version),Armada Music,Ambient,"4,344,946 plays","70,674 likes","2,606 reposts"
18,Reiki Zen Meditation Music | Relax your Mind and Body | Soothing Music,Spiritual Moment,Ambient,"9,736,607 plays","155,706 likes","5,213 reposts"
19,Delectatio - Numinous [Silk Music],Silk Music,Ambient,"2,606,864 plays","39,341 likes","1,104 reposts"
20,The Eden Project - Circles,SyrebralVibes,Ambient,"14,648,801 plays","231,365 likes","12,380 reposts"
21,Rain & Ocean Waves Storm Sounds for Sleep (75 Minutes),Relaxing White Noise,Ambient,"879,375 plays","9,001 likes",216 reposts
22,,Buffering,Ambient,"1,856,853 plays","30,975 likes","2,549 reposts"
23,,Buffering,Ambient,"2,719,562 plays","75,903 likes","28,288 reposts"
24,Spiritual Ascension Music | Healing Voices | Sleep Background - Meditation - Reiki - Yoga - Study,Spiritual Moment,Ambient,"5,811,909 plays","74,402 likes","2,833 reposts"
25,3 HOURS Relaxing Music   Yoga Background   Meditation   Spa   Massage   Sleep   Study[1],Kait?2-?3 Con Botas,Ambient,"4,315,544 plays","52,010 likes","1,867 reposts"
26,"Ultra Sleep Tibetan Music: Sleep Hypnosis, Music for Deep Sleep",Spiritual Moment,Ambient,"2,277,619 plays","27,861 likes",824 reposts
27,"Relaxing Rain and Thunder Sound , Sleep Meditation",Ibne Waheedi,Ambient,"5,363,831 plays","60,115 likes","3,243 reposts"
28,"Thunderstorm Sounds(Long Recording) Relaxing Rain & Thunder Sounds for Sleep, Insomnia or Study e??¡ì???",Rain Sounds Club,Ambient,"479,580 plays","5,287 likes",114 reposts
29,"Deep Shamanic Meditation- Relaxing Powerful Meditation Music For Deep Relaxation, Sleep Music 030",user9175165,Ambient,"3,788,099 plays","55,470 likes","2,167 reposts"
30,As she passes,Levi Patel,Classical,"9,400,033 plays","161,827 likes","5,993 reposts"
31,Coke Studio Season 12 | Wohi Khuda Hai | Atif Aslam,CokeStudio,Classical,"70,092 plays","5,000 likes",450 reposts
32,We Move Lightly,Dustinohalloran,Classical,"6,364,400 plays","94,397 likes","4,156 reposts"
33,"Tu Kuja Man Kuja, Shiraz Uppal & Rafaqat Ali Khan, Season Finale, Coke Studio Season 9",CokeStudio,Classical,"10,874,661 plays","268,165 likes","9,532 reposts"
34,,Buffering,Classical,"628,419 plays","25,645 likes","1,183 reposts"
35,Mark Eliyahu - Journey,Safena,Classical,"4,285,951 plays","91,299 likes","7,536 reposts"
36,"Afreen Afreen, Rahat Fateh Ali Khan & Momina Mustehsan, Episode 2, Coke Studio 9",CokeStudio,Classical,"16,152,723 plays","329,018 likes","15,575 reposts"
37,Otj¨¢nbird Pt. I,Spheri¨¢,Classical,"1,572,987 plays","16,203 likes","1,006 reposts"
38,Clair de Lune,Claude Debussy,Classical,"3,107,058 plays","33,351 likes","2,155 reposts"
39,"Chopin Nocturne in F Minor-Op. 55, No 1 (Variation) Piano, Violin, Cello - Chad Lawson",chad lawson,Classical,"6,907,950 plays","115,796 likes","11,065 reposts"
40,SAD PIANO - Violin -  Cant Forgive ?? ?? (Ballad),Ahmed Gado,Classical,"8,757,878 plays","144,805 likes","18,966 reposts"
41,Bedtime Baby Lullaby Classical Music Mozart Bach Beethoven Pachelbel Sleep Music 1 Hour,Bonifansius,Classical,"3,943,637 plays","59,688 likes","3,013 reposts"
42,Brahms' Lullaby - Orchestral Musicbox Lullaby For Babies - (Free Download),Wonderful Lullabies,Classical,"1,622,998 plays","9,425 likes",404 reposts
43,Mozart - Requiem in D minor Complete Full,Jack Villano Villano,Classical,"4,331,220 plays","79,658 likes","5,056 reposts"
44,Ikuko Kawai - El Choclo (Kiss Of Fire),Gooshe5,Classical,"1,382,913 plays","31,216 likes","3,916 reposts"
45,As she passes,Levi Patel,Country,"9,400,064 plays","161,827 likes","5,993 reposts"
46,Coke Studio Season 12 | Wohi Khuda Hai | Atif Aslam,CokeStudio,Country,"70,111 plays","5,000 likes",450 reposts
47,We Move Lightly,Dustinohalloran,Country,"6,364,422 plays","94,398 likes","4,156 reposts"
48,"Tu Kuja Man Kuja, Shiraz Uppal & Rafaqat Ali Khan, Season Finale, Coke Studio Season 9",CokeStudio,Country,"10,874,669 plays","268,165 likes","9,532 reposts"
49,Qabeel OST - ??? ????? ?? ???? ????? ??? ?? ??????,Khaled Al Kammar,Country,"628,428 plays","25,645 likes","1,183 reposts"
50,Mark Eliyahu - Journey,Safena,Country,"4,285,963 plays","91,300 likes","7,536 reposts"
51,"Afreen Afreen, Rahat Fateh Ali Khan & Momina Mustehsan, Episode 2, Coke Studio 9",CokeStudio,Country,"16,152,736 plays","329,018 likes","15,575 reposts"
52,Otj¨¢nbird Pt. I,Spheri¨¢,Country,"1,572,997 plays","16,203 likes","1,006 reposts"
53,Clair de Lune,Claude Debussy,Country,"3,107,073 plays","33,351 likes","2,155 reposts"
54,"Chopin Nocturne in F Minor-Op. 55, No 1 (Variation) Piano, Violin, Cello - Chad Lawson",chad lawson,Country,"6,907,962 plays","115,796 likes","11,065 reposts"
55,SAD PIANO - Violin -  Cant Forgive ?? ?? (Ballad),Ahmed Gado,Country,"8,757,897 plays","144,805 likes","18,966 reposts"
56,Bedtime Baby Lullaby Classical Music Mozart Bach Beethoven Pachelbel Sleep Music 1 Hour,Bonifansius,Country,"3,943,645 plays","59,688 likes","3,013 reposts"
57,Brahms' Lullaby - Orchestral Musicbox Lullaby For Babies - (Free Download),Wonderful Lullabies,Country,"1,623,005 plays","9,425 likes",404 reposts
58,Mozart - Requiem in D minor Complete Full,Jack Villano Villano,Country,"4,331,225 plays","79,658 likes","5,056 reposts"
59,Ikuko Kawai - El Choclo (Kiss Of Fire),Gooshe5,Country,"1,382,920 plays","31,217 likes","3,916 reposts"
60,As she passes,Levi Patel,Dance & EDM,"9,400,093 plays","161,827 likes","5,993 reposts"
61,Ride It,Dj Regard,Dance & EDM,"2,123,729 plays","47,087 likes","1,110 reposts"
62,Piece Of Your Heart (feat. Goodboys),MEDUZA,Dance & EDM,"12,608,907 plays","224,563 likes","7,870 reposts"
63,The Chainsmokers - Don't Let Me Down (Illenium Remix),ILLENIUM,Dance & EDM,"114,127,237 plays","1,822,237 likes","157,799 reposts"
64,Martin Garrix & Bebe Rexha - In The Name Of Love,Martin Garrix,Dance & EDM,"70,295,717 plays","1,216,083 likes","84,824 reposts"
65,Alone (Original Mix),marshmello,Dance & EDM,"59,422,634 plays","944,669 likes","67,908 reposts"
66,Phoebe Ryan - Mine (Elephante Remix),Elephante,Dance & EDM,"16,305,739 plays","331,289 likes","16,636 reposts"
67,Riton x Oliver Heldens - Turn Me On ft. Vula,Oliver Heldens,Dance & EDM,"496,866 plays","18,239 likes","1,167 reposts"
68,"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)",DJ SNAKE,Dance & EDM,"61,713,899 plays","500,268 likes","13,245 reposts"
69,Sia - Cheap Thrills Ft. Sean Paul (Bruno Torres Remix),Bruno Torres Remixes,Dance & EDM,"38,701,544 plays","592,801 likes","21,977 reposts"
70,Lose Control,MEDUZA,Dance & EDM,"158,047 plays","7,582 likes",596 reposts
71,Clean Bandit - Rockabye Ft. Sean Paul & Anne - Marie  ( Dj.IsI Rework ),Dj IsI,Dance & EDM,"28,389,586 plays","470,589 likes","16,369 reposts"
72,,Unavailable,Dance & EDM,"13,049,619 plays","241,966 likes","12,347 reposts"
73,,Unavailable,Dance & EDM,"70,622,123 plays","1,055,620 likes","116,051 reposts"
74,"K-391 - Ignite (feat. Alan Walker, Julie Bergan & Seungri)",WindFair,Dance & EDM,"8,528,703 plays","129,212 likes","2,774 reposts"
75,The Chainsmokers Ft. GGFO - Let You Go (Aash Mehta Remix)[Free Download],Aash Mehta,Dance & EDM,"6,903,555 plays","104,997 likes","4,204 reposts"
76,Ride It,Dj Regard,Dancehall,"2,123,855 plays","47,090 likes","1,110 reposts"
77,Piece Of Your Heart (feat. Goodboys),MEDUZA,Dancehall,"12,608,993 plays","224,563 likes","7,870 reposts"
78,,Buffering,Dancehall,"114,127,366 plays","1,822,239 likes","157,799 reposts"
79,Martin Garrix & Bebe Rexha - In The Name Of Love,Martin Garrix,Dancehall,"70,295,826 plays","1,216,084 likes","84,824 reposts"
80,Alone (Original Mix),marshmello,Dancehall,"59,422,689 plays","944,669 likes","67,908 reposts"
81,Phoebe Ryan - Mine (Elephante Remix),Elephante,Dancehall,"16,305,842 plays","331,293 likes","16,636 reposts"
82,Riton x Oliver Heldens - Turn Me On ft. Vula,Oliver Heldens,Dancehall,"496,931 plays","18,239 likes","1,167 reposts"
83,"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)",DJ SNAKE,Dancehall,"61,713,950 plays","500,269 likes","13,245 reposts"
